Date,Open,High,Low,Close,Adj Close,Volume
5/7/2018,6.28,6.62,6.21,6.57,6.57,181000
5/8/2018,6.56,6.58,6.36,6.48,6.48,120300
5/9/2018,6.51,6.53,6.32,6.34,6.34,124400
5/10/2018,6.32,6.59,6.31,6.4,6.4,116900
5/11/2018,6.37,6.48,6.37,6.41,6.41,96200
5/14/2018,6.38,6.51,6.38,6.49,6.49,116900
5/15/2018,6.43,6.55,6.38,6.43,6.43,145700
5/16/2018,6.47,7.1,6.47,7.07,7.07,453000
5/17/2018,7.12,7.35,7.1,7.29,7.29,170600
5/18/2018,7.31,8.33,7.21,8.01,8.01,1352600
5/21/2018,8.25,8.41,7.48,7.56,7.56,1048100
5/22/2018,7.66,8.5,7.62,8.18,8.18,947100
5/23/2018,7.32,7.64,7.25,7.57,7.57,1326300
5/24/2018,7.5,7.6,7.25,7.3,7.3,594900
5/25/2018,7.34,7.85,7.23,7.82,7.82,388000
5/29/2018,7.71,7.92,7.52,7.65,7.65,403000
5/30/2018,7.68,7.95,7.63,7.87,7.87,228300
5/31/2018,7.86,7.91,7.65,7.66,7.66,147900
6/1/2018,7.7,7.75,7.55,7.68,7.68,182200
6/4/2018,7.7,8.03,7.69,7.85,7.85,277900
6/5/2018,7.87,8.04,7.85,7.99,7.99,196400
6/6/2018,8.04,8.39,8.04,8.31,8.31,214800
6/7/2018,8.31,8.56,8.23,8.35,8.35,229700
6/8/2018,8.35,8.42,8.09,8.22,8.22,178600
6/11/2018,8.24,8.47,8.17,8.41,8.41,320900
6/12/2018,8.45,8.54,8.05,8.14,8.14,206000
6/13/2018,8.14,8.2,7.9,7.99,7.99,213300
6/14/2018,8,8.21,7.85,8.15,8.15,242100
6/15/2018,8.16,8.85,8.16,8.74,8.74,482700
6/18/2018,8.66,8.75,8.37,8.43,8.43,197100
6/19/2018,8.38,8.74,8.13,8.66,8.66,259800
6/20/2018,8.68,8.83,8.58,8.65,8.65,144600
6/21/2018,8.66,8.93,8.61,8.71,8.71,210200
6/22/2018,8.55,8.76,8.4,8.7,8.7,311700
6/25/2018,8.7,8.7,8.43,8.54,8.54,164400
6/26/2018,8.53,8.8,8.46,8.76,8.76,157900
6/27/2018,8.71,8.75,8.32,8.33,8.33,114400
6/28/2018,8.33,8.76,8.25,8.54,8.54,179700
6/29/2018,8.57,8.67,8.36,8.41,8.41,119400
7/2/2018,8.37,8.47,8.09,8.3,8.3,168700
7/3/2018,8.26,8.39,8.07,8.18,8.18,97900
7/5/2018,8.23,8.63,8.13,8.6,8.6,190500
7/6/2018,8.57,8.75,8.45,8.48,8.48,95800
7/9/2018,8.54,8.7,8.4,8.61,8.61,128800
7/10/2018,8.71,8.71,8.53,8.59,8.59,95500
7/11/2018,8.56,8.65,8.38,8.46,8.46,117900
7/12/2018,8.5,8.55,8.32,8.39,8.39,91900
7/13/2018,8.39,8.46,8.14,8.17,8.17,99300
7/16/2018,8.17,8.29,7.95,8.1,8.1,170600
7/17/2018,8.1,8.24,8.05,8.22,8.22,149400
7/18/2018,8.2,8.23,8.01,8.05,8.05,70400
7/19/2018,7.98,8.12,7.85,7.91,7.91,169900
7/20/2018,7.88,7.93,7.65,7.72,7.72,319500
7/23/2018,7.74,7.78,7.2,7.26,7.26,264200
7/24/2018,7.3,7.39,6.87,7.14,7.14,276500
7/25/2018,7.14,7.26,7.03,7.11,7.11,129300
7/26/2018,7.12,7.18,6.72,6.76,6.76,171500
7/27/2018,6.81,6.89,6.65,6.67,6.67,156500
7/30/2018,6.75,6.9,6.56,6.62,6.62,160900
7/31/2018,6.59,6.72,6.51,6.63,6.63,252700
8/1/2018,7.9,9.8,7.7,9.58,9.58,5835700
8/2/2018,9.35,10.02,9.27,10.02,10.02,2009300
8/3/2018,10,10.94,9.86,10.9,10.9,1002400
8/6/2018,10.9,11.53,10.47,10.58,10.58,1039300
8/7/2018,10.55,11.09,10.45,10.81,10.81,617600
8/8/2018,10.81,11.28,10.6,10.99,10.99,569400
8/9/2018,11.11,11.47,11.01,11.07,11.07,360000
8/10/2018,11.04,11.43,10.91,11.38,11.38,260600
8/13/2018,11.38,12.27,11.34,12.02,12.02,790700
8/14/2018,12.06,12.42,11.66,11.73,11.73,595800
8/15/2018,11.63,11.63,10.8,10.94,10.94,488800
8/16/2018,11.06,11.46,11.01,11.15,11.15,229300
8/17/2018,11.12,11.3,10.89,11.28,11.28,347100
8/20/2018,11.35,11.41,10.96,11.21,11.21,222300
8/21/2018,11.28,11.49,11.22,11.33,11.33,226200
8/22/2018,11.36,11.54,11.17,11.32,11.32,250300
8/23/2018,11.28,11.35,11.12,11.17,11.17,158800
8/24/2018,11.15,11.29,10.94,11.17,11.17,198400
8/27/2018,11.25,11.32,11.14,11.16,11.16,173100
8/28/2018,11.24,11.36,11.12,11.16,11.16,162500
8/29/2018,11.13,11.23,11,11.2,11.2,219400
8/30/2018,11.2,11.2,10.78,11.07,11.07,238800
8/31/2018,11.03,11.47,11.03,11.3,11.3,242900
9/4/2018,11.25,11.62,11.18,11.38,11.38,315200
9/5/2018,11.37,11.52,11.21,11.43,11.43,183700
9/6/2018,11.5,11.57,11.22,11.25,11.25,129400
9/7/2018,11.2,11.38,10.71,10.83,10.83,160100
9/10/2018,10.7,10.83,10.27,10.8,10.8,351600
9/11/2018,10.79,11.13,10.71,11.09,11.09,188800
9/12/2018,11.09,11.21,10.64,10.92,10.92,131300
9/13/2018,10.95,11.03,10.78,10.95,10.95,148600
9/14/2018,10.91,10.91,10.52,10.69,10.69,154600
